location,other_location_details,size,bedrooms,bathrooms,price,property_type,purchase_type,source,beds,baths,toilets
Nyali Mombasa,"Nyali Area, Nyali",2400.0,4.0,4.0,28000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Maziwa,"Lavington Green, Lavington",2400.0,7.0,5.0,128000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Rosslyn,Westlands,2400.0,10.0,3.0,128000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Five Star Road,South C,2400.0,4.0,4.0,23000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ngong,Ngong,2400.0,3.0,3.0,7500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Maziwa,"Lavington Green, Lavington",2400.0,4.0,4.0,130000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,4.0,5.0,84000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,4.0,4.0,66000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
O,"Parklands, Westlands",2400.0,5.0,5.0,4000000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ngong,Ngong,2400.0,3.0,3.0,6100000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
lavington,Lavington,2400.0,5.0,6.0,115000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,6.0,6.0,130000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
lavington,Lavington,2400.0,4.0,5.0,65000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
lavington,Lavington,2400.0,5.0,6.0,65000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,4200.0,5.0,6.0,130000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
loresho,"Loresho, Westlands",2400.0,5.0,6.0,130000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,3500.0,4.0,5.0,80000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Karen,Karen,2400.0,5.0,5.0,99000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Bongani road,Karen,2400.0,5.0,5.0,270000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,5.0,6.0,65000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ngong,Ngong,3000.0,3.0,4.0,13500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Juja,Juja,2400.0,3.0,4.0,8500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kirawa Rd,"Kitisuru, Westlands",2400.0,4.0,4.0,27000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Membley,Ruiru,2400.0,4.0,4.0,33000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Nandi Road,Karen,2400.0,5.0,5.0,160000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitengela,Kitengela,2400.0,3.0,4.0,8000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,5.0,2.0,100000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kileleshwa,Kileleshwa,2400.0,5.0,5.0,89000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitengela,Kitengela,2400.0,3.0,4.0,6500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
